Guest_ID,IHCL_One_Tier,Lifetime_Stays,Dietary_Preference,Room_Preference,Last_NPS_Score
GX-0001,Silver,3,Vegetarian,High Floor,9
GX-0002,Gold,12,Vegan,Sea View,10
GX-0003,Platinum,34,No Preference,Butler Suite,10
GX-0004,Epicure,67,Jain,High Floor,9
GX-0005,Silver,4,Gluten-Free,Near Elevator,8
GX-0006,Gold,18,Vegetarian,Sea View,10
GX-0007,Platinum,41,No Preference,High Floor,9
GX-0008,Silver,2,Vegan,Quiet Wing,8
GX-0009,Epicure,89,No Preference,Pool View,10
GX-0010,Gold,15,Halal,High Floor,9
GX-0011,Silver,5,Jain,Near Elevator,8
GX-0012,Platinum,28,Gluten-Free,Sea View,10
GX-0013,Gold,21,Vegetarian,High Floor,9
GX-0014,Silver,3,No Preference,Quiet Wing,7
GX-0015,Epicure,74,Vegan,Butler Suite,10
GX-0016,Gold,11,Gluten-Free,Sea View,9
GX-0017,Silver,6,Jain,High Floor,8
GX-0018,Platinum,39,No Preference,Pool View,10
GX-0019,Gold,14,Vegetarian,Near Elevator,9
GX-0020,Epicure,92,No Preference,Butler Suite,10
GX-0021,Silver,2,Halal,Quiet Wing,8
GX-0022,Platinum,46,Vegan,Sea View,10
GX-0023,Gold,17,Gluten-Free,High Floor,9
GX-0024,Silver,4,No Preference,Near Elevator,8
GX-0025,Epicure,81,Jain,Pool View,10
GX-0026,Gold,23,Vegetarian,Sea View,10
GX-0027,Silver,5,No Preference,High Floor,7
GX-0028,Platinum,52,Halal,Quiet Wing,9
GX-0029,Gold,9,Vegan,Near Elevator,9
GX-0030,Epicure,63,No Preference,Butler Suite,10
GX-0031,Silver,3,Gluten-Free,Sea View,8
GX-0032,Gold,19,Jain,High Floor,9
GX-0033,Platinum,37,Vegetarian,Pool View,10
GX-0034,Silver,7,No Preference,Near Elevator,8
GX-0035,Epicure,78,Vegan,Butler Suite,10
GX-0036,Gold,13,No Preference,Sea View,9
GX-0037,Silver,2,Halal,Quiet Wing,8
GX-0038,Platinum,44,Gluten-Free,High Floor,10
GX-0039,Gold,16,Jain,Near Elevator,9
GX-0040,Epicure,95,No Preference,Butler Suite,10
GX-0041,Silver,4,Vegetarian,Sea View,8
GX-0042,Platinum,31,No Preference,Pool View,9
GX-0043,Gold,22,Vegan,High Floor,10
GX-0044,Silver,1,No Preference,Near Elevator,7
GX-0045,Epicure,70,Jain,Butler Suite,10
GX-0046,Gold,10,Gluten-Free,Sea View,9
GX-0047,Silver,6,Vegetarian,Quiet Wing,8
GX-0048,Platinum,49,No Preference,High Floor,10
GX-0049,Gold,25,Halal,Pool View,9
GX-0050,Epicure,86,Vegan,Butler Suite,10
GX-0051,Silver,3,No Preference,Sea View,8
GX-0052,Gold,14,Gluten-Free,High Floor,9
GX-0053,Platinum,55,Jain,Near Elevator,10
GX-0054,Silver,5,Vegetarian,Quiet Wing,8
GX-0055,Epicure,99,No Preference,Butler Suite,10
GX-0056,Gold,20,Vegan,Sea View,9
GX-0057,Silver,2,Halal,High Floor,7
GX-0058,Platinum,36,No Preference,Pool View,10
GX-0059,Gold,11,Gluten-Free,Near Elevator,9
GX-0060,Epicure,73,Jain,Butler Suite,10
GX-0061,Silver,4,Vegetarian,Sea View,8
GX-0062,Platinum,42,No Preference,High Floor,9
GX-0063,Gold,17,Vegan,Quiet Wing,10
GX-0064,Silver,6,No Preference,Near Elevator,8
GX-0065,Epicure,84,Halal,Butler Suite,10
GX-0066,Gold,13,Gluten-Free,Sea View,9
GX-0067,Silver,3,Jain,High Floor,8
GX-0068,Platinum,58,No Preference,Pool View,10
GX-0069,Gold,24,Vegetarian,Near Elevator,9
GX-0070,Epicure,91,Vegan,Butler Suite,10
GX-0071,Silver,5,No Preference,Quiet Wing,7
GX-0072,Gold,15,Gluten-Free,Sea View,9
GX-0073,Platinum,33,Jain,High Floor,10
GX-0074,Silver,2,Halal,Near Elevator,8
GX-0075,Epicure,77,No Preference,Butler Suite,10
GX-0076,Gold,18,Vegetarian,Pool View,9
GX-0077,Silver,7,Vegan,Sea View,8
GX-0078,Platinum,47,No Preference,High Floor,10
GX-0079,Gold,12,Gluten-Free,Quiet Wing,9
GX-0080,Epicure,68,Jain,Butler Suite,10
GX-0081,Silver,4,No Preference,Near Elevator,8
GX-0082,Gold,21,Halal,Sea View,10
GX-0083,Platinum,38,Vegetarian,High Floor,9
GX-0084,Silver,1,No Preference,Quiet Wing,8
GX-0085,Epicure,82,Vegan,Butler Suite,10
GX-0086,Gold,16,Gluten-Free,Pool View,9
GX-0087,Silver,5,Jain,Near Elevator,8
GX-0088,Platinum,51,No Preference,Sea View,10
GX-0089,Gold,9,Vegetarian,High Floor,9
GX-0090,Epicure,96,Halal,Butler Suite,10
GX-0091,Silver,3,Vegan,Quiet Wing,7
GX-0092,Gold,23,No Preference,Sea View,9
GX-0093,Platinum,43,Gluten-Free,Pool View,10
GX-0094,Silver,6,Jain,High Floor,8
GX-0095,Epicure,71,No Preference,Butler Suite,10
GX-0096,Gold,14,Vegetarian,Near Elevator,9
GX-0097,Silver,2,Halal,Sea View,8
GX-0098,Platinum,56,Vegan,High Floor,10
GX-0099,Gold,19,Gluten-Free,Quiet Wing,9
GX-0100,Epicure,88,No Preference,Butler Suite,10
GX-0101,Silver,4,Jain,Near Elevator,8
GX-0102,Gold,11,No Preference,Sea View,9
GX-0103,Platinum,35,Vegetarian,High Floor,10
GX-0104,Silver,7,Vegan,Pool View,8
GX-0105,Epicure,79,No Preference,Butler Suite,10
GX-0106,Gold,22,Halal,Quiet Wing,9
GX-0107,Silver,3,Gluten-Free,Sea View,8
GX-0108,Platinum,48,No Preference,High Floor,9
